Academic Strategies for the IT Professional | Remaining Assignments: 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,30,30,,Discussion,9,270,265.8,27%,,9/22/2026
9/22/2026,TRUE,Unit 1,Assignment,,40,40,,Assignment,8,320,320,32%,,
9/22/2026,TRUE,Unit 1,Seminar,,15,15,,Seminar,10,150,135,15%,,
9/22/2026,TRUE,Unit 1,Quiz,,20,20,,Quiz,8,160,160,16%,,
9/25/2026,TRUE,Unit 2,Discussion,,30,30,,Exam,2,100,98,10%,,
9/29/2026,TRUE,Unit 2,Assignment,,40,40,,,37,1000,978.8,,,
9/29/2026,TRUE,Unit 2,Seminar,,15,15,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,20,20,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,30,30,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,40,40,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,15,15,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,20,20,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,30,30,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,15,15,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,20,20,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,30,30,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,40,40,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,15,15,,,,,,,,
10/20/2026,TRUE,Unit 5,Exam,,50,50,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,30,30,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,40,40,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,15,15,,,,,,,,
10/27/2026,TRUE,Unit 6,Quiz,,20,20,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,30,30,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,15,15,,,,,,,,
11/3/2026,TRUE,Unit 7,Quiz,,20,20,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,30,25.8,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,40,40,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,15,15,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,20,20,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,30,30,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,40,40,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,15,0,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,20,20,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,40,40,,,,,,,,
11/24/2026,TRUE,Unit 10,Seminar,,15,15,,,,,,,,
11/24/2026,TRUE,Unit 10,Exam,,50,48,,,,,,,,
Grade: A (98%),,,,,1000,978.8,,,,,,,,
