Foundations for Success in Information Technology | Remaining Assignments: 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,35,35,,Discussion,10,350,350,35%,,9/22/2026
9/22/2026,TRUE,Unit 1,Assignment,,40,40,,Assignment,6,340,340,34%,,
9/22/2026,TRUE,Unit 1,Seminar,,15,15,,Lab,4,160,160,16%,,
9/25/2026,TRUE,Unit 2,Discussion,,35,35,,Seminar,10,150,150,15%,,
9/29/2026,TRUE,Unit 2,Assignment,,60,60,,,30,1000,1000,,,
9/29/2026,TRUE,Unit 2,Seminar,,15,15,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,35,35,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,15,15,,,,,,,,
10/6/2026,TRUE,Unit 3,Lab,,40,40,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,35,35,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,15,15,,,,,,,,
10/13/2026,TRUE,Unit 4,Lab,,40,40,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,35,35,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,15,15,,,,,,,,
10/20/2026,TRUE,Unit 5,Lab,,40,40,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,35,35,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,15,15,,,,,,,,
10/27/2026,TRUE,Unit 6,Lab,,40,40,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,35,35,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,60,60,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,15,15,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,35,35,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,60,60,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,15,15,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,35,35,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,60,60,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,15,15,,,,,,,,
11/20/2026,TRUE,Unit 10,Discussion,,35,35,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,60,60,,,,,,,,
11/24/2026,TRUE,Unit 10,Seminar,,15,15,,,,,,,,
Grade: A (100%),,,,,1000,1000,,,,,,,,
