Database Concepts Using Microsoft Access | Remaining Assignments: 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,20,20,,Discussion,10,200,160,20%,,9/22/2026
9/22/2026,TRUE,Unit 1,Seminar,,20,20,,Assignment,10,600,480,60%,,
9/22/2026,TRUE,Unit 1,Assignment,,60,60,,Seminar,10,200,140,20%,,
9/25/2026,TRUE,Unit 2,Discussion,,20,20,,,30,1000,780,,,
9/29/2026,TRUE,Unit 2,Seminar,,20,20,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,60,60,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,20,20,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,20,20,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,60,60,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,20,20,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,20,20,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,60,60,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,20,20,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,20,20,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,60,60,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,20,20,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,20,20,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,60,60,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,20,20,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,20,20,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,60,60,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,20,20,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,20,0,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,60,60,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,20,,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,20,,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,60,,,,,,,,,
11/20/2026,TRUE,Unit 10,Discussion,,20,,,,,,,,,
11/24/2026,TRUE,Unit 10,Seminar,,20,,,,,,,,,
11/24/2026,FALSE,Unit 10,Assignment,,60,,,,,,,,,
Grade: A (98%),,,,,800,780,,,,,,,,
