Information Technology Concepts | Remaining Assignments: 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,,30,30,,Discussion,11,300,270,30%,,9/22/2026
9/22/2026,TRUE,Unit 1,Seminar,,,20,20,,Assignment,38,355,355,35.5%,,
9/22/2026,TRUE,Unit 1,Assignment,,1.2.6,15,15,,Seminar,10,200,180,20%,,
9/22/2026,TRUE,Unit 1,Assignment,,1.3.5,15,15,,Quiz,12,145,145,14.5%,,
9/22/2026,TRUE,Unit 1,Quiz,,1.5,20,20,,Exam,0,0,0,0%,,
9/25/2026,TRUE,Unit 2,Discussion,,,30,30,,,71,1000,950,,,
9/29/2026,TRUE,Unit 2,Seminar,,,20,20,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,8.1.4,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,8.2.8,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,8.3.4,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,8.4.7,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Assignment,,8.5.6,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,8.7,5,5,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,8.8,20,20,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,,30,30,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,,20,20,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,6.1.7,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,6.2.17,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,6.3.9,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,6.4.8,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,7.1.10,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,7.2.8,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,7.3.7,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,7.4.8,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,6.6,5,5,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,7.6,5,5,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,,30,30,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,,20,20,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,10.1.7,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,10.2.4,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,10.3.8,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,10.4.13,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10.6,10,10,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,,30,30,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,,20,20,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,3.1.7,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,3.2.9,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,3.3.14,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,3.5,20,20,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,,15,15,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,,15,15,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,,20,20,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,,25,25,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,11.1.9,25,25,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,,30,30,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,,20,20,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,5.1.4,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,5.2.6,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,5.3.10,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,9.1.10,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,9.2.5,10,10,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,,30,30,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,,20,20,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,5.4.8,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,5.5.6,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,9.3.5,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,5.7,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,9.5,10,10,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,,30,30,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,,20,20,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,2.1.6,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,2.2.6,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,2.3.8,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,2.5,20,20,,,,,,,,
11/20/2026,TRUE,Unit 10,Discussion,,,30,,,,,,,,,
11/24/2026,TRUE,Unit 10,Seminar,,,20,,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,4.1.11,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,4.2.5,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,4.3.8,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Quiz,,4.5,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Quiz,,4.6,10,10,,,,,,,,
Grade: A (100%),,,,,,950,950,,,,,,,,
