College Composition II | Remaining Assignments: 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,40,39,,Discussion,10,400,319,40%,,9/22/2026
9/22/2026,TRUE,Unit 1,Quiz,,10,10,,Assignment,5,470,370,47%,,
9/22/2026,TRUE,Unit 1,Journal,,10,10,,Quiz,9,90,90,9%,,
9/25/2026,TRUE,Unit 2,Discussion,,40,40,,Journal,4,40,40,4%,,
9/29/2026,TRUE,Unit 2,Assignment,,60,60,,,28,1000,819,,,
9/29/2026,TRUE,Unit 2,Quiz,,10,10,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,40,40,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,10,10,,,,,,,,
10/6/2026,TRUE,Unit 3,Journal,,10,10,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,40,40,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,60,60,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10,10,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,40,40,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Journal,,10,10,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,40,40,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,100,100,,,,,,,,
10/27/2026,TRUE,Unit 6,Quiz,,10,10,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,40,40,,,,,,,,
11/3/2026,TRUE,Unit 7,Quiz,,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Journal,,10,10,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,40,40,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,150,150,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,10,10,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,40,0,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,100,0,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,10,10,,,,,,,,
11/20/2026,TRUE,Unit 10,Discussion,,40,0,,,,,,,,
Grade: B (82%),,,,,1000,819,,,,,,,,
