Communicating Professionalism | Remaining Assignments: 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,40,40,,Discussion,10,385,280,38.5%,,9/22/2026
9/22/2026,TRUE,Unit 1,Quiz,,10,10,,Assignment,5,500,200,50%,,
9/22/2026,TRUE,Unit 1,Journal,,5,0,,Quiz,9,90,90,9%,,
9/25/2026,TRUE,Unit 2,Discussion,,40,40,,Journal,5,25,0,2.5%,,
9/29/2026,TRUE,Unit 2,Quiz,,10,10,,,29,1000,570,,,
9/29/2026,TRUE,Unit 2,Assignment,,100,100,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,40,40,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,10,10,,,,,,,,
10/6/2026,TRUE,Unit 3,Journal,,5,0,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,40,40,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,100,100,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,40,40,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Journal,,5,0,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,40,40,,,,,,,,
10/27/2026,TRUE,Unit 6,Quiz,,10,10,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,100,0,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,40,40,,,,,,,,
11/3/2026,TRUE,Unit 7,Quiz,,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Journal,,5,0,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,40,,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,100,,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,40,,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,100,0,,,,,,,,
11/20/2026,TRUE,Unit 10,Discussion,,25,,,,,,,,,
11/24/2026,TRUE,Unit 10,Journal,,5,0,,,,,,,,
Grade: C (72%),,,,,795,570,,,,,,,,
