Ethics | Remaining Assignments: 0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,30,30,,Discussion,9,270,232.4,27%,,9/22/2026
9/22/2026,TRUE,Unit 1,Seminar,,10,10,,Seminar,9,90,90,9%,,
9/22/2026,TRUE,Unit 1,Quiz,,10,10,,Quiz,18,180,180,18%,,
9/22/2026,TRUE,Unit 1,Quiz,,10,10,,Exam,5,460,384.4,46%,,
9/25/2026,TRUE,Unit 2,Discussion,,30,30,,,41,1000,886.8,,,
9/29/2026,TRUE,Unit 2,Seminar,,10,10,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,10,10,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,10,10,,,,,,,,
9/29/2026,TRUE,Unit 2,Exam,,100,79.7,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,30,30,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,10,10,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,10,10,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,10,10,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,30,22.4,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Exam,,100,90.2,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,30,30,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,10,10,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,30,30,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,10,10,,,,,,,,
10/27/2026,TRUE,Unit 6,Quiz,,10,10,,,,,,,,
10/27/2026,TRUE,Unit 6,Quiz,,10,10,,,,,,,,
10/27/2026,TRUE,Unit 6,Exam,,100,80,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,30,30,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Quiz,,10,10,,,,,,,,
11/3/2026,TRUE,Unit 7,Quiz,,10,10,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,30,30,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Quiz,,10,10,,,,,,,,
11/10/2026,TRUE,Unit 8,Exam,,100,76.5,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,30,,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,10,10,,,,,,,,
11/17/2026,TRUE,Unit 9,Quiz,,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Exam,,60,58,,,,,,,,
Grade: A (91%),,,,,970,886.8,,,,,,,,
