IT Integrative Project | Remaining Assignments: 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Due,Status,Section,Type,Description,Possible,Grade,,Type,Count,Possible,Actual,Weight,,9/16/2026
9/18/2026,TRUE,Unit 1,Discussion,,20,17,,Discussion,9,180,140,18%,,9/22/2026
9/22/2026,TRUE,Unit 1,Assignment,,60,60,,Assignment,10,670,470,67%,,
9/22/2026,TRUE,Unit 1,Seminar,,10,8,,Seminar,10,100,88,10%,,
9/22/2026,TRUE,Unit 1,Quiz,,10,10,,Quiz,5,50,50,5%,,
9/25/2026,TRUE,Unit 2,Discussion,,20,7,,,34,1000,748,,,
9/29/2026,TRUE,Unit 2,Assignment,,60,60,,,,,,,,
9/29/2026,TRUE,Unit 2,Seminar,,10,10,,,,,,,,
9/29/2026,TRUE,Unit 2,Quiz,,10,10,,,,,,,,
10/2/2026,TRUE,Unit 3,Discussion,,20,20,,,,,,,,
10/6/2026,TRUE,Unit 3,Assignment,,60,60,,,,,,,,
10/6/2026,TRUE,Unit 3,Seminar,,10,10,,,,,,,,
10/6/2026,TRUE,Unit 3,Quiz,,10,10,,,,,,,,
10/9/2026,TRUE,Unit 4,Discussion,,20,18,,,,,,,,
10/13/2026,TRUE,Unit 4,Assignment,,60,50,,,,,,,,
10/13/2026,TRUE,Unit 4,Seminar,,10,10,,,,,,,,
10/13/2026,TRUE,Unit 4,Quiz,,10,10,,,,,,,,
10/16/2026,TRUE,Unit 5,Discussion,,20,18,,,,,,,,
10/20/2026,TRUE,Unit 5,Assignment,,60,60,,,,,,,,
10/20/2026,TRUE,Unit 5,Seminar,,10,10,,,,,,,,
10/20/2026,TRUE,Unit 5,Quiz,,10,10,,,,,,,,
10/23/2026,TRUE,Unit 6,Discussion,,20,20,,,,,,,,
10/27/2026,TRUE,Unit 6,Assignment,,60,60,,,,,,,,
10/27/2026,TRUE,Unit 6,Seminar,,10,10,,,,,,,,
10/30/2026,TRUE,Unit 7,Discussion,,20,20,,,,,,,,
11/3/2026,TRUE,Unit 7,Assignment,,60,60,,,,,,,,
11/3/2026,TRUE,Unit 7,Seminar,,10,10,,,,,,,,
11/6/2026,TRUE,Unit 8,Discussion,,20,20,,,,,,,,
11/10/2026,TRUE,Unit 8,Assignment,,60,60,,,,,,,,
11/10/2026,TRUE,Unit 8,Seminar,,10,10,,,,,,,,
11/13/2026,TRUE,Unit 9,Discussion,,20,,,,,,,,,
11/17/2026,TRUE,Unit 9,Assignment,,100,,,,,,,,,
11/17/2026,TRUE,Unit 9,Seminar,,10,10,,,,,,,,
11/24/2026,TRUE,Unit 10,Assignment,,90,,,,,,,,,
11/24/2026,FALSE,Unit 10,Seminar,,10,,,,,,,,,
Grade: A (96%),,,,,780,748,,,,,,,,
